link_id	nodes
1	704616,702678
2	701776,702029
3	754127,754060
4	754060,753730
5	754206,754210
6	754210,754127
7	750103,753155
8	760488,755845
9	699448,699389
10	700129,700205
11	702062,699556
12	675356,676055
13	846219,845732
14	846634,846622
15	856361,855824
16	855824,855804
17	843992,844114
18	844114,844533
19	784980,784069
20	783952,777825
21	777825,777304
22	780509,780212
23	780212,780197
24	782044,782807
25	782807,782935
26	782935,783240
27	783240,783265
28	783265,783200
29	780235,780109
30	696350,696374
31	689387,689386
32	790954,790449
33	789873,788218
34	789974,789571
35	652752,652750
36	689968,689847
37	787361,787635
38	787635,788125
39	788125,788776
40	620284,620224
41	620224,620189
42	620189,620221
43	611037,610980
44	610980,610985
45	610985,611006
46	611006,611042
47	611042,611037
48	609686,609670
49	609670,609602
50	609602,609604
51	609604,609674
52	609674,609686
53	611055,610815
54	611134,611102
55	611102,611055
56	611945,611739
57	611739,611685
58	611498,611456
59	611456,611134
60	611685,611529
61	611529,611498
62	812470,813716
63	704819,705606
64	703730,703989
65	703379,703730
66	702796,702829
67	702829,703379
68	704690,704819
69	704565,704690
70	703989,704379
71	704379,704565
72	699955,699879
73	699879,700129
74	698386,697571
75	699239,698386
76	700253,699969
77	699969,699239
78	644165,647548
79	644907,644827
80	644371,644443
81	646247,646153
82	645282,645178
83	644993,644907
84	645448,645365
85	645365,645282
86	645178,645085
87	645085,644993
88	644827,644755
89	644454,644374
90	644200,644245
91	644245,644319
92	644319,644371
93	644611,644523
94	644523,644454
95	644244,644093
96	644374,644321
97	644321,644244
98	644093,644152
99	644152,644200
100	644755,644672
101	644672,644611
102	646153,646100
103	646100,646010
104	645642,645588
105	646010,645957
106	645682,645642
107	645835,645756
108	645756,645682
109	645957,645884
110	645884,645835
111	645588,645529
112	645529,645448
113	636188,636645
114	636645,637893
115	643580,644020
116	644020,644453
117	644453,645912
118	640917,642623
119	642623,643580
120	634471,634511
121	634511,634856
122	634856,634933
123	634933,636188
124	640175,640917
125	637893,638279
126	638279,640175
127	643890,643889
128	644830,644742
129	644742,643920
130	643920,643890
131	643889,644165
132	635812,631246
133	631246,631246
134	635812,634527
135	634527,634381
136	634381,634527
137	617971,617950
138	617950,617901
139	617935,617949
140	617949,617948
141	617931,617935
142	617948,617951
143	617901,617862
144	617862,617931
145	617951,617917
146	617917,617889
147	617812,617789
148	617789,617510
149	617889,617842
150	617842,617812
151	655298,654522
152	654522,654165
153	652520,654471
154	661391,661333
155	654471,654696
156	688242,689230
157	689230,690069
158	691754,691018
159	685785,687489
160	687489,687455
161	687455,687343
162	693770,693512
163	685152,684317
164	684317,684110
165	685484,685301
166	683273,683161
167	620063,620034
168	619925,620118
169	620118,620350
170	619644,619925
171	620034,619639
172	619639,619644
173	620872,620921
174	620921,620943
175	620599,620690
176	620690,620872
177	620661,621170
178	672440,673649
179	671374,671767
180	665166,665339
181	654539,653665
182	657435,654588
183	654588,654539
184	657887,657931
185	657931,658249
186	653895,653720
187	657357,657795
188	658658,658705
189	658705,660045
190	660045,660065
191	658287,658291
192	658291,658658
193	657501,656465
194	656465,656236
195	656236,656465
196	658145,658180
197	658180,658250
198	658250,658287
199	657765,657775
200	657775,658145
